ListingID,Neighborhood,PropertyType,Condition,SqFt,LotSqFt,Beds,Baths,YearBuilt,DistanceToCityMiles,SchoolRating,CrimeIndex,MortgageRatePct,TotalRooms,OnlineEstimateUSD,SalePriceUSD,PostSaleAppraisalUSD
500156,Waterfront,House,Good,2583,9181,2,1.0,2003,11.27,6.1,56.6,6.51,7.0,774008.0,848713.0,852453.0
500157,Suburb,House,Excellent,1545,17300,3,3.0,1968,10.78,6.6,43.4,6.08,9.0,522921.0,563274.0,572546.0
500158,Suburb,House,Excellent,1380,2257,3,1.5,1961,17.9,5.3,46.6,6.32,7.5,340583.0,398140.0,406922.0
500159,Suburb,House,Excellent,2414,6669,4,1.5,1966,1.63,6.8,63.0,5.84,9.5,592689.0,609314.0,608938.0
500160,Downtown,Condo,Good,2493,10887,2,1.5,1984,15.27,6.9,45.6,6.23,8.5,696050.0,723376.0,737423.0
500161,Suburb,Condo,Good,2491,2955,2,3.0,1990,3.93,6.4,24.8,5.96,7.0,617998.0,648495.0,653844.0
500162,University,House,Good,1337,6347,4,2.0,1950,13.12,5.9,15.3,6.4,8.0,367054.0,367965.0,378977.0
500163,University,Townhome,Fair,1812,20139,2,2.5,1999,16.76,4.7,43.9,5.4,9.5,507053.0,518702.0,523250.0
500164,Downtown,Condo,Good,2520,14321,4,1.0,1980,0.58,5.1,27.3,5.35,10.0,592454.0,758886.0,759319.0
500165,Rural,House,Fair,1424,8985,3,3.0,2007,11.19,5.6,48.9,6.53,8.0,441673.0,467214.0,458572.0
500166,Suburb,House,Fair,1363,1354,4,2.5,1989,7.15,7.9,25.5,6.39,11.5,505528.0,577758.0,547688.0
500167,Suburb,Condo,Good,2388,6011,5,2.5,1988,7.07,6.3,39.3,5.67,11.5,583156.0,704838.0,712260.0
500168,Rural,House,Fair,2866,8196,4,3.0,2010,9.05,5.8,22.6,6.11,11.0,719544.0,695155.0,693892.0
500169,Suburb,Condo,Good,1101,5402,4,2.0,1954,2.55,7.9,39.1,5.62,9.0,450226.0,484972.0,507752.0
500170,Waterfront,Condo,Good,450,6250,2,2.0,1975,3.08,7.8,37.9,7.47,8.0,338277.0,320760.0,298135.0
500171,Suburb,House,Good,907,41341,3,2.5,2002,12.7,5.9,53.5,5.31,7.5,420927.0,430652.0,440329.0
500172,Rural,Townhome,Excellent,1192,5715,4,2.5,1999,13.81,6.1,64.6,7.28,10.5,342336.0,344427.0,333628.0
500173,Rural,House,Excellent,1761,3633,5,2.0,1968,5.43,7.9,41.8,5.76,11.0,578766.0,553118.0,553131.0
500174,Suburb,House,Good,2250,7520,5,2.0,2000,0.3,7.5,31.7,6.5,12.0,678190.0,721527.0,711458.0
500175,Downtown,House,Excellent,1755,5378,6,2.0,1978,22.54,5.8,73.8,6.09,10.0,508860.0,450499.0,454544.0
500176,Suburb,Townhome,Good,1395,5398,4,2.5,1989,15.32,7.3,50.0,6.02,8.5,507012.0,493834.0,493542.0
500177,Rural,House,Good,1950,6169,3,3.0,2016,10.93,7.0,53.7,6.81,10.0,465740.0,557858.0,567939.0
500178,University,Condo,Good,1225,10342,4,2.0,1996,2.69,8.6,53.7,6.74,11.0,413506.0,379862.0,381592.0
500179,Rural,House,Good,1820,7496,3,3.5,2001,5.34,5.8,66.3,6.08,9.5,550638.0,501947.0,507471.0
500180,Downtown,Townhome,Excellent,1433,3161,3,1.0,1984,10.23,8.3,59.7,5.71,7.0,577044.0,638212.0,652857.0
500181,University,Townhome,Good,3592,6003,2,2.0,1995,3.1,7.6,54.7,7.5,8.0,856232.0,839155.0,845136.0
500182,University,House,Good,2381,8641,4,3.5,1996,18.3,5.6,56.1,7.09,10.5,468382.0,498864.0,497396.0
500183,University,Townhome,Good,1307,4909,2,2.0,1959,9.61,8.5,31.8,6.34,8.0,353959.0,367517.0,381742.0
500184,Suburb,House,Good,1202,12951,4,1.0,1985,11.12,8.3,35.5,6.07,10.0,427260.0,504077.0,502849.0
500185,University,House,Excellent,1565,10361,2,3.5,1970,2.7,5.1,43.0,6.43,10.5,646490.0,646835.0,651563.0
500186,Downtown,House,Fair,781,3587,4,2.5,2019,3.42,9.8,46.0,6.3,8.5,402810.0,408329.0,404725.0
500187,Downtown,House,Fair,1375,,2,1.0,1972,4.12,5.4,44.9,6.97,7.0,427869.0,433135.0,425628.0
500188,Downtown,House,Fair,1370,21372,4,3.0,1958,10.43,5.7,49.2,5.67,9.0,370724.0,440860.0,406634.0
500189,Suburb,House,Good,2425,16575,2,1.5,2018,7.22,6.5,45.0,6.27,6.5,604462.0,638621.0,646631.0
500190,Suburb,House,Excellent,1573,6284,3,1.0,2015,7.08,8.1,38.2,5.78,8.0,604334.0,601942.0,588839.0
500191,Suburb,House,Fair,1336,11138,4,2.0,2014,10.66,7.8,20.3,7.04,10.0,401040.0,455608.0,464073.0
500192,Suburb,House,Good,979,4338,2,2.0,2006,10.13,6.9,57.1,7.34,8.0,300550.0,297920.0,318601.0
500193,Downtown,Condo,Good,1085,2726,3,1.5,1985,17.58,9.0,53.4,6.2,8.5,478973.0,511159.0,496182.0
500194,Suburb,Townhome,Good,1807,9065,3,2.0,1950,7.63,7.6,31.5,6.58,7.0,486210.0,512233.0,522337.0
500195,Downtown,House,Good,1710,7536,1,1.5,1978,2.8,9.0,52.1,7.1,6.5,593518.0,558512.0,557485.0
500196,Rural,House,Good,2587,,4,2.0,2004,8.73,10.0,50.5,6.07,10.0,719635.0,738308.0,743578.0
500197,Downtown,House,Fair,1441,6404,4,2.0,1974,17.45,7.3,45.7,5.69,10.0,433430.0,466101.0,452533.0
500198,Suburb,House,Excellent,2538,7904,2,3.0,1977,5.52,3.3,17.1,6.88,8.0,667807.0,690221.0,690648.0
500199,Waterfront,Townhome,Fair,2017,4778,4,2.0,2020,9.08,6.4,26.6,6.56,11.0,821329.0,781616.0,783487.0
500200,Suburb,House,Fair,1847,8634,2,1.0,1988,6.68,5.5,35.6,6.13,5.0,421244.0,445975.0,462392.0
500201,University,Condo,Fair,545,10715,2,1.0,1970,11.19,7.1,68.8,7.13,7.0,123718.0,190590.0,215157.0
500202,Rural,Condo,Good,1011,6276,3,2.0,1989,10.32,7.1,31.8,6.4,8.0,421436.0,378842.0,382529.0
500203,Rural,House,Excellent,2332,,3,3.5,2017,4.01,5.2,39.4,5.19,11.5,679260.0,727449.0,723382.0
500204,Suburb,Condo,Good,2759,2246,5,3.0,2005,7.45,5.3,28.0,6.46,10.0,628293.0,705148.0,730575.0
500205,Suburb,House,Good,1984,4055,2,1.5,1990,14.36,6.6,37.2,6.22,8.5,440293.0,528809.0,527703.0
500206,Downtown,Townhome,Good,2346,15464,4,3.0,1986,15.27,6.7,49.7,7.38,10.0,535102.0,534322.0,533789.0
500207,University,House,Good,1585,18705,4,1.0,2009,14.25,3.2,13.6,6.24,7.0,523207.0,452287.0,453558.0
500208,Waterfront,House,Good,1609,7555,1,3.0,1998,13.89,8.4,5.0,6.13,7.0,765185.0,731048.0,736478.0
500209,University,Condo,Good,1419,6109,1,2.0,2014,6.83,7.0,54.5,6.52,6.0,367094.0,461182.0,469406.0
500210,Downtown,House,Fair,2484,3037,4,3.0,1966,6.65,7.0,45.1,6.4,10.0,720747.0,693093.0,686650.0
500211,Suburb,House,Fair,2073,8084,3,2.5,1995,14.29,7.4,35.6,5.41,8.5,599317.0,563858.0,562726.0
500212,Suburb,House,Good,1698,10369,4,2.0,1955,1.88,5.5,59.1,6.33,11.0,347923.0,458218.0,479806.0
500213,Downtown,House,Good,1637,2672,4,2.5,1998,8.46,6.9,59.1,6.06,8.5,580122.0,566899.0,585322.0
500214,Rural,House,Good,,,3,1.5,2000,0.3,8.5,13.2,7.1,7.5,654219.0,642928.0,648150.0
500215,University,Condo,Fair,2060,8725,2,2.0,1962,6.56,8.6,42.1,7.7,9.0,579299.0,545739.0,549005.0
500216,Suburb,Condo,Excellent,1309,8468,1,3.0,2025,4.63,7.7,61.2,5.58,6.0,403239.0,512690.0,510208.0
